singer_name,photo_url,singer_styles,date,n_songs
Mc Daleste,https://www.vagalume.com.br/mc-daleste/images/mc-daleste.jpg,"['Funk Carioca', 'Rap', 'Funk']",2009-07-01,114
Mr. Catra,https://www.vagalume.com.br/mr-catra/images/mr-catra.jpg,"['Funk Carioca', 'Axé', 'Romântico']",2003-06-01,98
MC Marcinho,https://www.vagalume.com.br/mc-marcinho/images/mc-marcinho.jpg,"['Funk Carioca', 'Rap', 'Funk']",2003-06-01,95
Mc Livinho,https://www.vagalume.com.br/mc-livinho/images/mc-livinho.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2012-12-01,83
Os Hawaianos,https://www.vagalume.com.br/os-hawaianos/images/os-hawaianos.jpg,"['Funk Carioca', 'Pagode', 'Electronica']",2006-08-01,79
Mc Marcelly,https://www.vagalume.com.br/mc-marcelly/images/mc-marcelly.jpg,"['Funk Carioca', 'Sertanejo', 'Axé']",2007-10-01,76
Claudinho & Buchecha,https://www.vagalume.com.br/claudinho-buchecha/images/claudinho-buchecha.jpg,"['Funk Carioca', 'Pop', 'Romântico']",2003-06-01,74
DJ Marlboro,https://www.vagalume.com.br/dj-marlboro/images/dj-marlboro.jpg,"['Funk Carioca', 'Pop', 'Electronica']",2003-06-01,70
Perlla,https://www.vagalume.com.br/perlla/images/perlla.jpg,"['Gospel/Religioso', 'Funk Carioca', 'Pop']",2009-04-01,70
Mc Duduzinho,https://www.vagalume.com.br/mc-duduzinho/images/mc-duduzinho.jpg,"['Funk Carioca', 'Pagode', 'Romântico']",2008-06-01,65
Mc Lon,https://www.vagalume.com.br/mc-lon/images/mc-lon.jpg,"['Funk Carioca', 'Sertanejo', 'Funk']",2010-07-01,65
Naldo,https://www.vagalume.com.br/naldo/images/naldo.jpg,"['Funk Carioca', 'Pop', 'Romântico']",2006-07-01,63
Buchecha,https://www.vagalume.com.br/buchecha/images/buchecha.jpg,"['Funk Carioca', 'Romântico', 'Funk']",2004-06-01,63
Menor do Chapa,https://www.vagalume.com.br/menor-do-chapa/images/menor-do-chapa.jpg,"['Funk Carioca', 'Rap', 'Funk']",2004-10-01,61
Gaiola Das Popozudas,https://www.vagalume.com.br/gaiola-das-popozudas/images/gaiola-das-popozudas.jpg,"['Funk Carioca', 'Dance', 'Electronica']",2004-10-01,60
Furacão 2000,https://www.vagalume.com.br/furacao-2000/images/furacao-2000.jpg,"['Funk Carioca', 'Axé', 'Hip Hop']",2003-06-01,57
MC Guimê,https://www.vagalume.com.br/mc-guime/images/mc-guime.jpg,"['Funk Carioca', 'Funk', 'Rap']",2011-03-01,56
Ludmilla,https://www.vagalume.com.br/ludmilla/images/ludmilla.jpg,"['Funk Carioca', 'Hip Hop', 'Pop']",2012-07-01,53
MC Hariel,https://www.vagalume.com.br/mc-hariel/images/mc-hariel.jpg,['Funk Carioca'],2016-01-01,49
Mc Dedé,https://www.vagalume.com.br/mc-dede/images/mc-dede.jpg,"['Funk Carioca', 'Electronica', 'Sertanejo']",2006-05-01,49
Mc Kelvinho,https://www.vagalume.com.br/mc-kelvinho/images/mc-kelvinho.jpg,"['Funk Carioca', 'Funk', 'Electronica']",2011-07-01,49
Bonde do Tigrão,https://www.vagalume.com.br/bonde-do-tigrao/images/bonde-do-tigrao.jpg,"['Funk Carioca', 'Dance', 'Electronica']",2003-06-01,48
